Species,Replicate,Dose,Time_h,RawOD
KT2440,2,2,1,0.036652815
KT2440,2,1,1,0.036652815
KT2440,2,0,1,0.036652815
KT2440,3,90,1,0.090569638
KT2440,3,70,1,0.063611227
KT2440,3,50,1,0.059760025
KT2440,3,25,1,0.052057622
KT2440,3,20,1,0.05375918
KT2440,3,15,1,0.044799317
KT2440,3,10,1,0.044355219
KT2440,3,5,1,0.044355219
KT2440,3,2,1,0.028950412
KT2440,3,1,1,0.044355219
KT2440,3,0,1,0.04820642
KT2440,1,90,1.25,0.082734435
KT2440,1,70,1.25,0.063478427
KT2440,1,50,1.25,0.07118083
KT2440,1,25,1.25,0.055776023
KT2440,1,20,1.25,0.049279249
KT2440,1,15,1.25,0.049279249
KT2440,1,10,1.25,0.07118083
KT2440,1,5,1.25,0.051924822
KT2440,1,2,1.25,0.055776023
KT2440,1,1,1.25,0.051924822
KT2440,1,0,1.25,0.04807362
KT2440,2,90,1.25,0.075032031
KT2440,2,70,1.25,0.04807362
KT2440,2,50,1.25,0.051924822
KT2440,2,25,1.25,0.044222418
KT2440,2,20,1.25,0.044799317
KT2440,2,15,1.25,0.040319385
KT2440,2,10,1.25,0.055776023
KT2440,2,5,1.25,0.051924822
KT2440,2,2,1.25,0.04807362
KT2440,2,1,1.25,0.04807362
KT2440,2,0,1.25,0.04807362
KT2440,3,90,1.25,0.090436838
KT2440,3,70,1.25,0.063478427
KT2440,3,50,1.25,0.059627225
KT2440,3,25,1.25,0.051924822
KT2440,3,20,1.25,0.049279249
KT2440,3,15,1.25,0.049279249
KT2440,3,10,1.25,0.04807362
KT2440,3,5,1.25,0.059627225
KT2440,3,2,1.25,0.032668814
KT2440,3,1,1.25,0.04807362
KT2440,3,0,1.25,0.04807362
KT2440,1,90,1.5,0.086585636
KT2440,1,70,1.5,0.059627225
KT2440,1,50,1.5,0.07118083
KT2440,1,25,1.5,0.051924822
KT2440,1,20,1.5,0.05375918
KT2440,1,15,1.5,0.05375918
KT2440,1,10,1.5,0.078883233
KT2440,1,5,1.5,0.067329628
KT2440,1,2,1.5,0.063478427
KT2440,1,1,1.5,0.051924822
KT2440,1,0,1.5,0.055776023
KT2440,2,90,1.5,0.078883233
KT2440,2,70,1.5,0.04807362
KT2440,2,50,1.5,0.051924822
KT2440,2,25,1.5,0.044222418
KT2440,2,20,1.5,0.044799317
KT2440,2,15,1.5,0.044799317
KT2440,2,10,1.5,0.055776023
KT2440,2,5,1.5,0.051924822
KT2440,2,2,1.5,0.051924822
KT2440,2,1,1.5,0.055776023
KT2440,2,0,1.5,0.055776023
KT2440,3,90,1.5,0.090436838
KT2440,3,70,1.5,0.059627225
KT2440,3,50,1.5,0.059627225
KT2440,3,25,1.5,0.051924822
KT2440,3,20,1.5,0.058239112
KT2440,3,15,1.5,0.05375918
KT2440,3,10,1.5,0.04807362
KT2440,3,5,1.5,0.067329628
KT2440,3,2,1.5,0.055776023
KT2440,3,1,1.5,0.04807362
KT2440,3,0,1.5,0.044222418
KT2440,1,90,1.75,0.086851236
KT2440,1,70,1.75,0.056041623
KT2440,1,50,1.75,0.07144643
KT2440,1,25,1.75,0.052190422
KT2440,1,20,1.75,0.049279249
KT2440,1,15,1.75,0.049279249
KT2440,1,10,1.75,0.083000035
KT2440,1,5,1.75,0.079148833
KT2440,1,2,1.75,0.07144643
KT2440,1,1,1.75,0.059892825
KT2440,1,0,1.75,0.052190422
KT2440,2,90,1.75,0.075297631
KT2440,2,70,1.75,0.04833922
KT2440,2,50,1.75,0.052190422
KT2440,2,25,1.75,0.044488019
KT2440,2,20,1.75,0.044799317
KT2440,2,15,1.75,0.049279249
KT2440,2,10,1.75,0.079148833
KT2440,2,5,1.75,0.07144643
KT2440,2,2,1.75,0.063744027
KT2440,2,1,1.75,0.063744027
KT2440,2,0,1.75,0.056041623
KT2440,3,90,1.75,0.090702438
KT2440,3,70,1.75,0.07144643
KT2440,3,50,1.75,0.059892825
KT2440,3,25,1.75,0.052190422
KT2440,3,20,1.75,0.058239112
KT2440,3,15,1.75,0.058239112
KT2440,3,10,1.75,0.059892825
KT2440,3,5,1.75,0.075297631
KT2440,3,2,1.75,0.067595228
KT2440,3,1,1.75,0.052190422
KT2440,3,0,1.75,0.036785615
KT2440,1,90,2,0.083000035
KT2440,1,70,2,0.056041623
KT2440,1,50,2,0.07144643
KT2440,1,25,2,0.052190422
KT2440,1,20,2,0.05375918
KT2440,1,15,2,0.058239112
KT2440,1,10,2,0.090702438
KT2440,1,5,2,0.086851236
KT2440,1,2,2,0.079148833
KT2440,1,1,2,0.067595228
KT2440,1,0,2,0.059892825
KT2440,2,90,2,0.075297631
KT2440,2,70,2,0.044488019
KT2440,2,50,2,0.052190422
KT2440,2,25,2,0.040636817
KT2440,2,20,2,0.049279249
KT2440,2,15,2,0.058239112
KT2440,2,10,2,0.083000035
KT2440,2,5,2,0.079148833
KT2440,2,2,2,0.07144643
KT2440,2,1,2,0.056041623
KT2440,2,0,2,0.056041623
KT2440,3,90,2,0.090702438
KT2440,3,70,2,0.09455364
KT2440,3,50,2,0.056041623
KT2440,3,25,2,0.04833922
KT2440,3,20,2,0.05375918
KT2440,3,15,2,0.067198975
KT2440,3,10,2,0.067595228
KT2440,3,5,2,0.083000035
KT2440,3,2,2,0.075297631
KT2440,3,1,2,0.059892825
KT2440,3,0,2,0.04833922
KT2440,1,90,2.25,0.082867235
KT2440,1,70,2.25,0.055908823
KT2440,1,50,2.25,0.067462428
KT2440,1,25,2.25,0.052057622
KT2440,1,20,2.25,0.05375918
KT2440,1,15,2.25,0.067198975
KT2440,1,10,2.25,0.109825646
KT2440,1,5,2.25,0.105974444
KT2440,1,2,2.25,0.094420839
KT2440,1,1,2.25,0.086718436
KT2440,1,0,2.25,0.063611227
KT2440,2,90,2.25,0.075164831
KT2440,2,70,2.25,0.044355219
KT2440,2,50,2.25,0.052057622
KT2440,2,25,2.25,0.040504017
KT2440,2,20,2.25,0.044799317
KT2440,2,15,2.25,0.062719044
KT2440,2,10,2.25,0.086718436
KT2440,2,5,2.25,0.090569638
KT2440,2,2,2.25,0.079016033
KT2440,2,1,2.25,0.067462428
KT2440,2,0,2.25,0.059760025
KT2440,3,90,2.25,0.090569638
KT2440,3,70,2.25,0.067462428
KT2440,3,50,2.25,0.059760025
KT2440,3,25,2.25,0.04820642
KT2440,3,20,2.25,0.058239112
KT2440,3,15,2.25,0.067198975
KT2440,3,10,2.25,0.090569638
KT2440,3,5,2.25,0.094420839
KT2440,3,2,2.25,0.086718436
KT2440,3,1,2.25,0.063611227
KT2440,3,0,2.25,0.055908823
KT2440,1,90,2.5,0.083265635
